name;slogan;link;telefoon;provincie;stad;address;location;kvkNumber;registrationType;bedrijfsvorm;mederwerkers;op_marktplaats;ervaring;creationDate;advert_type
Klussenbedrijf A. Verhoeven;Het verbouwen van badkamers van sloop tot in gebruik nemen ;http://www.klus-tegelbedrijfverhoeven.nl/;0627422758;Noord-Brabant;Nieuwkuijk;Iepenstraat 2;5253BS Nieuwkuijk;17107880;;Overig;3;8 jaar;17 jaar;000011390336;vakman
Tasimo;Tasimo voor workshops en kinderfeestjes nabij venray.;http://www.tasimo.nl;0478503937;Limburg;Leunen;Pascherhof 31;5809BW Leunen;52271021;;Eenmanszaak;1;3½ jaar;4 jaar;000022218378;vakman
ProBi;Gespecialiseerd in Racefietsen en Mountainbikes;www.probikeshop.nl;06-25183624;Noord-Brabant;'s-Hertogenbosch;Bredestraat 19;5242CD Rosmalen;17185214;;Eenmanszaak;1;9 jaar;23 jaar;000011279036;vakman
CONCRÉTIVO;keramiek van 8-80 jaar in een aangenaam atelier! ;http://www.concretivo.nl;06-43542518;Limburg;Sittard;Dorpstraat 23;6137SR Sittard;14110863;;Eenmanszaak;1;9 jaar;4 jaar;000003526232;vakman
Scooter Center Helmond;Scooterreparatie , -onderhoud , -schadeherstel en taxatie.;http://www.scootercenterhelmond.nl;0622989188;Noord-Brabant;Helmond;Vossenbeemd 120;5705CL Helmond;17277656;;Eenmanszaak;4;5 jaar;21 jaar;000004534409;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Inventor Skills;Avondtrainingen op maat in Inventor of AutoCAD 2010-2015;http://www.inventorskills.nl;06-12573904;Gelderland;Nunspeet;Marishof 5;8072JZ Nunspeet;55058655;;Eenmanszaak;1;3½ jaar;13 jaar;000024754420;vakman
Joey Schaar B.V.;Vespa Lx S Lxv 25km SNOR 4t Opvoeren Sneller Maken Tunen CDI;http://www.joeyschaar.nl;0633607579;Noord-Holland;Zwanenburg;Zwanenburgerdijk 348;1161NN Zwanenburg;59406488;;BV;2;8½ jaar;10 jaar;000007181574;vakman
F.J. van der Gronde;Fotocursus op maat voor beginners en gevorderden;http://www.fritsvandergronde.nl;0347352022;Utrecht;Hagestein;het Laantje 47;4124BD Hagestein;23076557;;Eenmanszaak;—;9½ jaar;28 jaar;000013568035;vakman
Sleutelwerk;Cursus voorbewerken en autospuiten;http://www.sleutelwerk.nl/cursus.php;0307512814;Utrecht;De Meern;Strijkviertel 59 -E;3454PK DE MEERN;30274194;;Eenmanszaak;1;5 jaar;15 jaar;000002136678;vakman
KH Techniek B.V.;Erkende & gecertiviceerd Technische installatiebedrijf ;www.khtechniek.nl;0617593880;Utrecht;Amersfoort;Kolkrijst 23;3828EJ Hoogland;60214759;;BV;3;7½ jaar;15 jaar;000007759452;vakman
KH Techniek B.V.;KH Techniek b.v. de erkend technische installatie bedrijf;www.khtechniek.nl;0617593880;Zuid-Holland;Rotterdam;Kolkrijst 23;3828EJ Hoogland;60214759;;BV;3;7½ jaar;15 jaar;000007759452;vakman
Nagelstudio Wilma;Wij geven nagelcursussen en workshops in Steenbergen.;www.nailsbywilma.nl;0628478374;Noord-Brabant;Steenbergen;Graaf Hendrikstraat 3 c;4651TB Steenbergen;20093582;;Niet van toepassing;2;3 jaar;17 jaar;000010346961;vakman
Delicio B.V.;Koken bij Delicio: leer jezelf en anderen beter kennen. ;http://www.delicio.nl;0341260800;Gelderland;Nunspeet;Hullerweg 107 b;8071RN Nunspeet;08072822;;BV;5;8 jaar;18 jaar;000019939531;vakman
Vleer Dakbedekkingen;Snel,goed en goedkoop!!!!! ;<empty>;0619927230;Zuid-Holland;Ridderkerk;Vlietplein 209;2986GM Ridderkerk;58193650;;Overig;2;7 jaar;19 jaar;000027557952;vakman
Westwood Creations;Leuk ! Workshops glaskralen branden, ervaring niet nodig;http://www.westwood-creations.nl;06-49604473;Noord-Brabant;Werkendam;Weegbree 4;4251JJ Werkendam;17259266;;Eenmanszaak;1;9½ jaar;7 jaar;000006344631;vakman
Miks;Creativiteit met karakter!;http://www.dejuistemiks.nl;0344644430;Gelderland;Ochten;Waalbandijk 5;4051CJ Ochten;11066644;;Eenmanszaak;1;9½ jaar;33 jaar;000013514288;vakman
IBS-Designs;Een gezellige/leerzame middag of avond? Ga naar IBS-Designs.;http://www.ibs-designs.nl;06-22224985;Overijssel;Oldenzaal;Vogezenlaan 8;7577MR Oldenzaal;51783665;;Eenmanszaak;1;9½ jaar;4 jaar;000021767580;vakman
Viva España Spaanseles;Praktisch Spaans leren voor beginners en gevorderden;http://www.spaanseles-vivaespana.nl;0570-654979;Overijssel;Deventer;Paalakker 24;7421GH Deventer;08200704;;Eenmanszaak;1;7 jaar;18 jaar;000007995504;vakman
3D CAD Assist;Modelleren van uw 3D model voor de 3D Printer;<empty>;0620407327;Noord-Holland;Haarlem;Jacques Perklaan 26 II;2024JS Haarlem;51164841;;Eenmanszaak;1;9½ jaar;9 jaar;000021241309;vakman
Xventon B.V.;Cursus, workshop, prive les fotografie en Photoshop ;http://www.peterschuttebeeldbewerking.nl/Cursussen.html;0614067490;Zuid-Holland;'s-Gravenhage;Andrej Sacharowstraat 44;2552HK 's-Gravenhage;27243257;;BV;1;9½ jaar;22 jaar;000011458348;vakman
Outback Bushcraft, Survival & Trekking;Wij richten ons het hele jaar op bushcraft en survival;http://www.indeoutback.nl;0612100100;Zuid-Holland;Hellevoetsluis;Christinaplaats 62;3223XG Hellevoetsluis;24489991;;Eenmanszaak;—;3½ jaar;16 jaar;000014160641;vakman
Graniet Werken Nederland; terrazzo/granieten vloeren ;http://www.granietwerkennederland.nl;0616671326;Noord-Brabant;Sint-Oedenrode;Laurier 26;5491KR Sint-Oedenrode;59607327;;VOF;2;5 jaar;16 jaar;000000147524;vakman
ARTERNA Glas- en Schilderkunst;workshop glasfusen kunstzinnig en gezellig in ruim atelier;http://www.arterna.nl;06-53893605;Utrecht;Utrecht;Concordiastraat 68;3551EM Utrecht;30177963;;Eenmanszaak;—;6 jaar;19 jaar;000007340583;vakman
Ontwerpbureau Spijkers met Koppen;Grafisch Vormgever zoekt leuke klussen!;http://www.spijkersmetkoppenontwerp.nl;0614926698;Gelderland;Apeldoorn;Veldhuisstraat 32;7311PH Apeldoorn;08144189;;Eenmanszaak;1;8½ jaar;19 jaar;000001422944;vakman
De Taalvraag;Lessen NT2 hoger opgeleiden alle niveaus in kleine groepen ;www.detaalvraag.nl;0636043870;Zuid-Holland;Rotterdam;Petuniahof 3;3434XA Nieuwegein;50879871;;Eenmanszaak;1;3½ jaar;31 jaar;000020768850;vakman
In uw voordeel;Leren masseren en behandelingen met natuurlijke producten;http://www.inuwvoordeel.nl;0756573735;Noord-Holland;Zaandijk;Bredenhofstraat 2;1544RA Zaandijk;34184924;;VOF;2;8 jaar;32 jaar;000013053108;vakman
Studio Vliet;Les in kleine groepen in de gezellige binnenstad van Hoorn;http://www.fotoschoolhoorn.nl;0622115628;Noord-Holland;Hoorn;Achterom 75;1621KS Hoorn;51786192;;Eenmanszaak;1;3½ jaar;7 jaar;000021769893;vakman
Gebarentaal voor Iedereen;Onze dienst is betrouwbaar en hoge kwaliteit voor onze klant;http://gebarentaalvooriedereen.nl/nieuw-cursus-gebarentaal/;0268454734;Gelderland;Arnhem;De Pas 90;6836HM Arnhem;52653188;;VOF;3;6 jaar;25 jaar;000022570608;vakman
Jecks; *Creatieve workshops en KERSTWORKSHOP in Purmerend;http://www.jecks.nl;0299-437034;Noord-Holland;Purmerend;Gaasterland 12;1447BL Purmerend;50719408;;Eenmanszaak;2;5 jaar;7 jaar;000011401745;vakman
Cre-Jo;workshops op de naaimachine of lockmachine;http://cre-jo.vpweb.nl;0640741796;Friesland;Parrega;Kerkbuurt 8;8763MK Parrega;01104357;;Eenmanszaak;—;4 jaar;17 jaar;000006709737;vakman
Ela-sieraad;Sieraden maken-workshops en creatieve kinderfeestjes;http://www.jouwcreatie.nl;0384201173;Overijssel;Zwolle;Tjaskerstraat 32;8043HH Zwolle;05077495;;Eenmanszaak;1;5 jaar;11 jaar;000005188199;vakman
Fotografie Negatief;fotografiecursus fotocursus oefenen fotoles digitale camera;http://www.fotografie-negatief.com/;0611171777;Noord-Holland;Santpoort-Noord;Kerkweg 31;2071NB Santpoort-Noord;34084060;;Eenmanszaak;1;4½ jaar;20 jaar;000015343510;vakman
Arend Handelsonderneming;Arend Spaans | Fotografie;http://www.arendspaans.nl;0224722364;Noord-Holland;Heerhugowaard;Acaciaplein 315;1741XH Schagen;37134402;;Eenmanszaak;1;9½ jaar;13 jaar;000006474470;vakman
Avenir Mode;Avenir Mode, Leonie Vos, Den Bosch;http://www.avenirmode.nl;0736414901;Noord-Brabant;'s-Hertogenbosch;Buitenpepersdreef 337;5231HE 's-Hertogenbosch;16084766;;Eenmanszaak;1;8 jaar;19 jaar;000005943825;vakman
In uw voordeel;Leer perfect de technieken om kwaliteit massages te geven;www.inuwvoordeel.nl;0756573735;Noord-Holland;Zaandijk;Bredenhofstraat 2;1544RA Zaandijk;34184924;;VOF;2;8 jaar;32 jaar;000013053108;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Paardensportcentrum de Steegh;Pensionstalling, groeps- en privelessen, ponykamp, feestjes;www.pscdesteegh.nl;06-21596751;Noord-Brabant;Berghem;Harenseweg 16;5351NG Berghem;57945241;;Eenmanszaak;3;7½ jaar;27 jaar;000004855345;vakman
NatuurlijkZijn;Praktijk voor sjamanisme, spiritualiteit, sjamanendrums;http://www.natuurlijkzijn.nl;0493-493722;Noord-Brabant;Deurne;Waal 45;5751VT Deurne;50643843;;VOF;2;8 jaar;10 jaar;000011017724;vakman
Sheila's Buikdanscentrum;Workshops, lessen, shows, Buikdans,Burlesque,Bollywood ;http://www.sheilabuikdanscentrum.nl;06-21427703;Gelderland;Zutphen;Weerdslag 186;7206BZ Zutphen;08194339;;VOF;6;5½ jaar;25 jaar;000011695773;vakman
Harmony in Colours;Kleuradvies in de vier seizoenen;http://www.harmonyincolours.nl;0183-601969;Zuid-Holland;Ameide;Liesveldweg 47;4233HG Ameide;24126016;;Eenmanszaak;1;7 jaar;10 jaar;000000888893;vakman
Ronald Bruinink Fotografie;Leer ook beter fotograferen bij Fotocursus-Enschede!;http://www.fotocursus-enschede.nl;06-48812125;Overijssel;Enschede;Varviksingel 145;7512EL Enschede;06069198;;Eenmanszaak;1;8½ jaar;11 jaar;000014196867;vakman
Atelier van Wees;Tekenles Schilderles Utrecht Tekencursus Schildercursus;http://www.ateliervanwees.com;06-81734671;Utrecht;Utrecht;Schepersweg 224;3621JR Breukelen;54125340;;VOF;4;9½ jaar;19 jaar;000007015658;vakman
Meubelmakerij De Schrijn V.O.F.;Cursussen meubelmaken en praktijkopleiding tot meubelmaker;www.cursusmeubelmaken.nl/informatieve-bijeenkomst-praktisch-leerjaar-meubelmaken;0343562829;Utrecht;Langbroek;Langbroekerdijk A 46 -A;3947BJ Langbroek;30105138;;VOF;10;7½ jaar;23 jaar;000009415181;vakman
Guitars Recycled;Workshop - Bouw en setup een gitaar in een middag;http://www.guitarsrecycled.com;0613255850;Drenthe;Borger;Hunzedal 41;9531GB Borger;04074310;;Eenmanszaak;1;9 jaar;11 jaar;000002794144;vakman
Karen Klein Fotografie;fotocursus, fotografiecursus, workshops, digitale fotografie;http://www.karenklein.nl;0599-850902;Drenthe;Buinerveen;Hoofdstraat 18;9524PA Buinerveen;04082829;;Eenmanszaak;1;7 jaar;22 jaar;000011519142;vakman
Galerie De Voorst;Voor al uw creatieve workshop op elke gewenste lokatie;http://www.galeriedevoorst.nl;0651317752;Flevoland;Marknesse;Oudeweg 65;8316AD Marknesse;39052209;;Eenmanszaak;2;8 jaar;23 jaar;000010404023;vakman
Aannemersbedrijf Piet Bouwknegt V.O.F.;Aannemersbedrijf Piet Bouwknegt V.O.F.;www.pietbouwknegt.nl;0654393506;Drenthe;Nijeveen;Schuurmansweg 6;7948NM Nijeveen;04009565;;VOF;1;3½ jaar;47 jaar;000012019704;vakman
Stichting TOP;Een boeiende carrière als tandartsassistente begint bij TOP!;http://www.stichtingtop.nl;075-6144176;Noord-Holland;Koog aan de Zaan;Lagendijk 49;1541KB Koog aan de Zaan;34250526;;Stichting;4;6 jaar;10 jaar;000021995966;vakman
Verrassend Tilburg & Meer;Verrassende, bijzondere ONTMOETINGEN;http://www.verrassendlangstraatenmeer.nl;06-14635213;Noord-Brabant;Loon op Zand;Strieckenlaan 3;5175CJ Loon op Zand;18086325;;Eenmanszaak;1;9½ jaar;8 jaar;000013440616;vakman
La Lopez;Studiebegeleiding, vorming en onderwijs n.e.g.;http://www.lalopez.nl;0356032990;Utrecht;Soest;Wieksloterweg WZ 3;3763LH Soest;32061645;;Eenmanszaak;1;6 jaar;20 jaar;000014787903;vakman
G & P Holding B.V.;Leuke cursussen voor vaarbewijs 1,2 en marifonie. (Theorie);http://www.vaarschoolnova.nl;0646810751;Noord-Brabant;Waalre;Schoenmakerslaan 5;5583GC Waalre;17154104;;BV;3;7 jaar;42 jaar;000000461423;vakman
Taartenworkshop Edam-Volendam;Workshops taarten decoratie, marsepein, chocola en bonbons.;http://www.taartenworkshopedam.nl;0681189075;Noord-Holland;Edam;Standerdmolen 61;1135LP Edam;54938821;;Eenmanszaak;3;6½ jaar;20 jaar;000024650773;vakman
Meubelmakerij De Schrijn V.O.F.;Cursussen meubelmaken en praktijkopleiding tot meubelmaker.;http://www.cursusmeubelmaken.nl/praktisch-leerjaar-meubelmaken;0343562829;Utrecht;Langbroek;Langbroekerdijk A 46 -A;3947BJ Langbroek;30105138;;VOF;10;7½ jaar;23 jaar;000009415181;vakman
Stichting Instituto Hispanico;Hispanico is anders! Spaans in Amsterdam en Doetinchem;www.hispanico.nl;0624818491;Noord-Holland;Amsterdam;Veerstraat 36 11;1075SW Amsterdam;41052030;;Stichting;5;6 jaar;23 jaar;;vakman
Verrassend Tilburg & Meer;workshop mozaieken voor volwassenen en kinderen;http://www.verrassendtilburgenmeer.nl;06-14635213;Noord-Brabant;Loon op Zand;Strieckenlaan 3;5175CJ Loon op Zand;18086325;;Eenmanszaak;1;9½ jaar;8 jaar;000013440616;vakman
Barb's Galerie;speksteen+boetseer workshops + cursussen, opdracht beeld;http://www.barbsgallery.com;055-5212407;Gelderland;Wenum Wiesel;Fluitersweg 34;7345BK Wenum Wiesel;08130864;;Eenmanszaak;1;9½ jaar;28 jaar;000012145068;vakman
Pietersma Opleidingen;GPS cursus en workshop in groep, individueel of remote.;http://www.gps-expert.nl/cms;0208100784;Noord-Holland;Amsterdam;Burgemeester De Vlugtlaan 333;1063BP Amsterdam;34284037;;Overig;5;6½ jaar;8 jaar;000009781927;vakman
Harmony in Colours;Opleiding Kleurconsulent in de vier seizoenen;http://www.harmonyincolours.nl;0183-601969;Zuid-Holland;Ameide;Liesveldweg 47;4233HG Ameide;24126016;;Eenmanszaak;1;7 jaar;10 jaar;000000888893;vakman
Rino Bronsplastieken;originele beelden in brons en keramiek;www.rino-sculptures.com;06-51103472;Noord-Holland;Schoorl;Valkenlaan 44;1871AV Schoorl;37150169;;Overig;—;8½ jaar;33 jaar;000014796759;vakman
Angé Couture;Omdat het resultaat meer mag zijn dan u verwacht.;http://www.ange-couture.nl;0263830084;Gelderland;Arnhem;Altweertstraat 24;6845ES Arnhem;09124299;;Eenmanszaak;1;7½ jaar;15 jaar;000010020594;vakman
Salon Vital;Opleiding Pedicure in doetinchem, achterhoek, gelderland;http://www.lunarc.nl;0314-642545;Gelderland;Doetinchem;Asterstraat 7;7038BL Zeddam;50701290;;VOF;4;8½ jaar;9 jaar;000009869093;vakman
Flying coach;sparringpartner voor een nieuwe impuls in je carrière;http://www.flyingcoach.nl;026-3554566;Gelderland;Arnhem;Artilleriepark 13;6814JZ Arnhem;09166985;;VOF;1;7½ jaar;21 jaar;000007825676;vakman
PC Support Assen;Reparatie, onderhoud en verkoop computers en onderdelen;http://www.pcsupportassen.nl;0592-857889;Drenthe;Assen;Briljantstoep 54;9403SH Assen;01149555;;Eenmanszaak;1;5½ jaar;20 jaar;000011994401;vakman
Vones Bouwwerken;Alle bouwwerkzaamheden in en om huis;www.vonesbouwwerken.nl;0627265312;Overijssel;Staphorst;Adm WG van Nesstraat 3;7951AL Staphorst;08196533;;Eenmanszaak;1;3½ jaar;25 jaar;000004751574;vakman
Studentenkarwei;Betaalbare aan huis service voor al uw computer problemen!!!;www.studentenkarwei.nl;0707112055;Zuid-Holland;'s-Gravenhage;Stamkartplein 218;2521ES 's-Gravenhage;27371148;;VOF;10+;4 jaar;10 jaar;000005453755;vakman
bluetulipcomputing;No cure no pay. zo simpel is dat. Wij komen ook aan huis;http://www.compu-hulp.com;0616457365;Noord-Brabant;Eindhoven;Reinoutlaan 292;5665AG Geldrop;55688896;;Eenmanszaak;1;8 jaar;13 jaar;000025315749;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Paardrijvakanties in Spanje;Paardrijvakanties in Spanje;http://www.paardrijvakantiesinspanje.nl;0612044440;Noord-Holland;Amsterdam;Egelantiersstraat 252;1015PT Amsterdam;54750792;;Eenmanszaak;1;6 jaar;6 jaar;000024481661;vakman
Neefs Badkamerrenovatie en Tegelwerken;Voor een perfecte badkamer met maar liefst 5 jaar garantie !;http://neefsbadkamerrenovatie.nl;076-5810565;Noord-Brabant;Breda;Eeklostraat 5;4826LM Breda;20061435;;VOF;2;7½ jaar;25 jaar;000003399230;vakman
Computerhulp Lopik;Computerhulp Lopik, de specialist in de regio;http://www.computerlopik.nl/;0638226191;Utrecht;Lopik;Emmalaan 40;3411XH Lopik;57828296;;Eenmanszaak;1;7½ jaar;26 jaar;000027232476;vakman
Stichting Computerservice Limburg;Computers, Computerhulp, Reparatie/Onderhoud, Draadloos;http://www.computerservicelimburg.nl;085-2735777;Limburg;Maastricht;Sint Josephstraat 3;6231EC Meerssen;53265157;;Stichting;10+;2½ jaar;25 jaar;;vakman
V.M. van Beek Timmer- en Onderhoudsbedrijf;sterk in vakwerk ;<empty>;0624210921;Zuid-Holland;'s-Gravenhage;Judostraat 17;2492VA 's-Gravenhage;27314713;;Niet van toepassing;—;5½ jaar;26 jaar;000001399535;vakman
Thuis-PC.nl;Uw pc probleem snel en vakkundig opgelost. Ook voor nieuw;http://www.thuis-pc.nl;06-81469489;Gelderland;Arnhem;Bingelradestraat 3;6845HA Arnhem;09198702;;Eenmanszaak;1;4½ jaar;6 jaar;000010597670;vakman
TJ Computer Service;Reparatie en uitleg aan pc's, laptop's, tablets, Smartphones;http://www.tjcomputerservice.nl;073-8513185;Noord-Brabant;Nuland;Ploeg 5;5391CR Nuland;17228602;;Eenmanszaak;1;6½ jaar;15 jaar;000005898366;vakman
Computer-Guy;Computer en Laptop Reparaties ook aan huis en kantoor mkb.;http://www.computer-guy.nl/;<empty>;Noord-Holland;Amsterdam;Eerste Jacob van Campenst 10 1V;1072BE Amsterdam;54595355;;Eenmanszaak;6;6½ jaar;6 jaar;000024344206;vakman
Consudata;Data herstellen van mediadragers;http://www.consudata.nl/;0106690545;Zuid-Holland;Rotterdam;Juliana van Stolberglaan 59;2741EE Waddinxveen;54345693;;Overig;5;5½ jaar;7 jaar;000024122211;vakman
Hippo's Eternity;natuurgeneeskunde, training, voeding, gezondheidsproducten;http://www.hipposeternity.nl;06-20173796;Noord-Brabant;Oost West en Middelbeers;Molenbroekseweg 1 A;5091TG Oost West en Middelbeers;17276016;;Eenmanszaak;1;9 jaar;12 jaar;000014520362;vakman
Paardenhotel Ekenrode;De optimale verzorging voor uw paard tijdens uw vakantie;http://www.paardenhotel-ekenrode.nl;0402218004;Noord-Brabant;Waalre;Achtereindsestraat 1 d;5583TB Waalre;17087922;;Eenmanszaak;—;7 jaar;38 jaar;000013356666;vakman
Vakman Voor U; Bouw-en renovatiebedrijf.;vakmanvooru.nl;0642047506;Zuid-Holland;Hillegom;Van Vlietstraat 70;2181GN Hillegom;28110376;;Niet van toepassing;3;3½ jaar;15 jaar;000014862557;vakman
Pluijter PC Service;Dé pc servicespecialist van het Noorden;http://www.pluijterpcservice.nl;0614684986;Groningen;Zuidhorn;Kraak 3;9801MR Zuidhorn;53803612;;Eenmanszaak;1;3 jaar;15 jaar;000023655089;vakman
Dieko B.V.;Laptop/ PC (Hard- & Software) Reparaties;http://www.euro-computers.nl;0102400268;Zuid-Holland;Rotterdam;Hoogstraat 107 B;3011PK Rotterdam;14044867;;BV;3;10 jaar;14 jaar;000007449798;vakman
Feniciolo B.V.;MTJ Webservice bouwt, onderhoudt en upgradet uw website;http://www.mtjwebservice.nl;0529769033;Overijssel;Nieuwleusen;De Grift 9;7711EP Nieuwleusen;55310885;;BV;2;4 jaar;10 jaar;000024975680;vakman
IB Automatisering;Webdesign hosting en webshop bouwen voor 25 Euro per maand;http://www.boekhoorn.nl;0243567666;Gelderland;Ooij;Prinses Beatrixstraat 6;6576AX Ooij;29049368;;Eenmanszaak;3;4½ jaar;16 jaar;000009549803;vakman
Computerwereld Verdaasdonk;Allround computer shop met service aan huis;www.computer-wereld.com;0485-769055;Noord-Brabant;Cuijk;Kovel 6;5431ST Cuijk;53834763;;Eenmanszaak;3;8½ jaar;13 jaar;000023684798;vakman
Honden en Katten Trimsalon Altrivon;Voor de perfecte vachtverzorging van uw kat;http://www.kattentrimsalon.com;036-5328744;Flevoland;Almere;Antilopestraat 16;1338EE Almere;39085527;;Eenmanszaak;—;7 jaar;10 jaar;000009466835;vakman
Compu-Save;COMPUTERHULP AAN HUIS OF BIJ MIJ THUIS OF OP AFSTAND;www.compu-save.nl;0620551784;Utrecht;Leersum;Bovenhaarweg 8;3956KK Leersum;56041977;;Eenmanszaak;1;6½ jaar;15 jaar;000025635905;vakman
PC Probleempje;Hulp aan huis en bedrijf bij computer problemen en uitleg;http://pcprobleempje.nl;0621801076;Zuid-Holland;'s-Gravenhage;Strausslaan 233;2551NC 's-Gravenhage;27373201;;Eenmanszaak;1;3½ jaar;29 jaar;000008068046;vakman
ComputerCoach Hilversum;Ik kom vrijblijvend (gratis) langs in 't Gooi;http://www.computerklusmanhetgooi.webs.com/;0644748265;Noord-Holland;Hilversum;Saturnusstraat 46;1223HH Hilversum;56286635;;Eenmanszaak;1;4 jaar;25 jaar;000025854429;vakman
van Sprundel ICT;Computerhulp en reparatie in Breda en omgeving;http://www.vansprundelict.nl;0619945267;Noord-Brabant;Breda;Oostmallestraat 13;4826PB Breda;53515447;;Eenmanszaak;1;3 jaar;12 jaar;000023391278;vakman
Computerhulp Ede en Bennekom;Goedkoop (20eur/u 1e 2 uur, daarna 15e/uur) en doeltreffend!;http://www.arjenmol.net;0641406394;Gelderland;Ede;Dubbelbeek 40 16;7333NJ Apeldoorn;61296007;;Eenmanszaak;1;8 jaar;9 jaar;000030409705;vakman
De Roij Allround Service;voor al uw airco werkzaamheden ( huis , auto & bedrijf );www.deroijallroundservice.nl;0623896541;Noord-Brabant;Helmond;Astronautenlaan 96;5702GP Helmond;53510224;;Eenmanszaak;1;9 jaar;15 jaar;000023386592;vakman
CAservice, Auke Smid;Computer verkoop en reparatie in Friesland;http://www.caservice.nl;0623821458;Friesland;Zwagerbosch;Toarnbei 1;9299HJ Zwagerbosch;51683156;;Eenmanszaak;1;4 jaar;25 jaar;000021680213;vakman
JG Design;Website | Webshop | Webwinkel | SEO | Alkmaar | Amsterdam;www.j-dsgn.nl;0615387740;Noord-Holland;Alkmaar;Muiderwaard 477;1824XK Alkmaar;37151456;;Eenmanszaak;3;3½ jaar;17 jaar;000010866841;vakman
Elrepka;Computer reparatie Den Haag  Printer Reparatie Den Haag;http://www.elrepka.nl;070-3635033;Zuid-Holland;'s-Gravenhage;Vondelstraat 232;2513GB 's-Gravenhage;53051246;;Eenmanszaak;3;7 jaar;35 jaar;000015015688;vakman
NixNiet Networking;Voor website, computer assemblage en reparatie;www.meetit.nl;0628776532;Utrecht;Amersfoort;Sara Burgerhartsingel 213;3813NH Amersfoort;32109927;;Eenmanszaak;1;4½ jaar;14 jaar;000013646702;vakman
PC070;Reparaties van Laptops, Macbooks, Iphones ,Ipads;http://www.pc070.nl;070-3588312;Zuid-Holland;'s-Gravenhage;Frederik Hendriklaan 299;2582CE 's-Gravenhage;51857421;;VOF;2;3½ jaar;17 jaar;000021836280;vakman
KV-ICT;Voor uw software en websites op maat;http://www.kv-ict.nl;0651533359;Groningen;Delfzijl;De Helling 62;9934JJ Delfzijl;52160254;;Eenmanszaak;1;3½ jaar;33 jaar;000022118993;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Louis Verstappen Computerhulp;Computer problemen oplossen bij u thuis;<empty>;0645540629;Noord-Brabant;Berkel-Enschot;De Ruiter 2;5056MP Berkel-Enschot;51123738;;Eenmanszaak;1;4½ jaar;7 jaar;000021207399;vakman
